Type,Section Length (m),Corner Radius (m)
Left,1,12.917
Left,1,15.97
Left,1,16.122
Left,2,23.872
Left,1,27.662
Left,2,31.909
Left,1,30.507
Left,1,31.084
Left,2,47.182
Left,1,38.691
Left,2,46.416
Left,2,61.054
Left,1,95.31
Left,2,96.331
Left,2,86.991
Left,1,52.468
Left,1,30.84
Left,2,27.694
Left,1,39.127
Left,1,33.61
Left,2,24.283
Left,1,20.578
Left,1,21.627
Left,1,13.834
Left,1,12.832
Left,1,10.388
Left,1,8.09
Left,1,7.409
Left,1,6.542
Left,1,7.881
Left,1,9.041
Left,1,11.931
Left,1,63.504
Right,1,17.06
Right,1,11.541
Right,1,8.16
Right,1,7.077
Right,1,6.938
Right,1,6.375
Right,1,6.508
Right,1,7.21
Right,1,6.597
Right,1,7.006
Right,1,6.954
Right,1,14.085
Right,1,15.108
Right,1,13.455
Right,2,13.076
Right,1,14.958
Right,1,15.393
Right,1,15.233
Right,2,24.92
Right,1,31.803
Right,2,45.476
Right,1,48.017
Right,2,66.36
Right,1,86.84
Right,2,151.621
Right,1,160.493
Right,2,136.653
Right,2,750.538
Left,1,381.632
Left,2,487.849
Left,2,560.88
Straight,1,0
Left,2,842.554
Left,2,587.857
Left,2,936.41
Left,2,363.79
Left,1,296.638
Left,2,898.457
Straight,2,0
Straight,2,0
Left,2,532.918
Left,3,357.321
Left,2,686.472
Left,2,486.657
Left,2,770.896
Left,2,887.33
Left,2,1022.423
Left,3,910.898
Left,2,1215.129
Straight,2,0
Right,2,596.006
Right,2,441.239
Right,2,545.532
Right,2,192.823
Right,2,340.92
Left,2,896.15
Right,1,704.933
Left,2,133.324
Left,1,151.493
Straight,1,0
Right,2,24.217
Right,1,12.388
Right,1,10.597
Right,1,9.194
Right,1,7.955
Right,1,7.37
Right,1,6
Right,1,8.525
Right,1,13.77
Right,1,13.824
Right,1,13.56
Right,1,13.291
Right,2,13.507
Right,1,15.402
Right,1,12.838
Right,1,12.482
Right,1,11.313
Right,2,10.663
Right,1,14.736
Right,1,11.9
Right,2,14.729
Right,1,14.746
Right,1,15.507
Right,2,15.983
Right,1,14.447
